Artist,Song,Outlier,Outlier Category,
Zakk Wylde,,,,
,Throwin' It All Away,0,Normal,
,Peddlers Of Death,0,Normal,
,Too Numb To Cry,0,Normal,
,The Color Green,1,Error,
Blue Oyster Cult,,,,
,Dr. Music,0,Normal,
,Buck's Boogie,0,Normal,
,7 Screaming Diz-Busters,0,Normal,
,Shadows - Original,1,Genuine,
,Out Of Stadion - Original,1,Genuine,
,Remodeling - Original,1,Genuine,
,Ginger Snaps - Original,1,Genuine,
Biohazard,,,,
,Pain,0,Normal,
,Justified Violence,0,Normal,
,Business (Remastered) (Album Version),0,Normal,
,German Lesson No.7 (Live),1,Speech,
,Letter go,1,"Genuine, Instrumental",
,Intro,1,Intro,
Yoko Ono,,,,
,You're The One (Claude Le Gache Vocal Mix),0,Normal,
,Every Man Has A Woman Who Loves Him (2000 Digital Remaster),0,Normal,
,Walking On Thin Ice (Felix Da Housecat Tribute Mix),0,Normal,
,Let Me Count The Ways (2001 Digital Remaster),1,Genuine,
,Hard Times Are Over (2000 Digital Remaster),1,Genuine,
,Revelations,1,Genuine,
,Where Do We Go From Here,1,Genuine,
Wilson Pickett,,,,
,Mercy_ Mercy (LP Version),0,Normal,
,Mojo Mama [LP Version],0,Normal,
,My Own Style Of Loving (LP Version),0,Normal,
,A Funky Situation,1,Error,
,Engine Number 9,1,Error,
,Don't Knock My Love - Pt. II,1,"Error, Instrumental",
,Pledging My Love (LP Version),1,Genuine,
Wild Strawberries,,,,
,Debutante,0,Normal,
,Easter Morning,0,Normal,
,Give It Up,0,Normal,
,Noise2,1,Noise,
,Noise1,1,Noise,
,Noise4,1,Noise,
,Wake,1,Genuine,
Whitney Houston,,,,
,Where Do Broken Hearts Go,0,Normal,
,How Will I Know,0,Normal,
,Who Do You Love,0,Normal,
,Love Will Save The Day,1,Error,
,I Look To You,1,Genuine,
,I Didn't Know My Own Strength,1,Genuine,
,Salute,1,Genuine,
Warren Zevon,,,,
,Mohammed's Radio (2007 Remastered Live LP Version),0,Normal,
,Poisonous Lookalike,0,Normal,
,Something Bad Happened To A Clown,0,Normal,
,Jesus Was A Cross Make,1,Genuine,
,Interlude No. 1 (LP Version),1,"Genuine, Instrumental",
,Interlude No. 2 (LP Version),1,"Genuine, Instrumental",
,Hasten Down The Wind [Band Demo],1,Genuine,
,Renegade,1,Genuine,
Voivod,,,,
,The Tower,0,Normal,
,Insect,0,Normal,
,Helldriver (Morgoth Invasion - Live Demo - December 1984),0,Normal,
,Catalepsy I,1,Sound Effect,
,War And Pain (Morgoth Invasion - Live Demo - December 1984),1,"Instrumental, Speech",
,Temps Mort,1,Sound Effect,
,Nuclear War (Remastered),1,Genuine,
,Catalepsy II,1,Sound Effect,
,Korgull The Exterminator (Morgoth Invasion - Live Demo - December 1984),1,Instrumental,
Uncle Tupelo,,,,
,Graveyard Shift,0,Normal,
,New Madrid,0,Normal,
,If That's Alright,0,Normal,
,Black Eye,1,Genuine,
,Whiskey Bottle,1,Genuine,
,Looking For A Way Out,1,Genuine,
,I Wanna Be Your Dog,1,Genuine,
,Warfare,1,Genuine,
Triangle,,,,
,Peut-Être Demain (Version Anglaise),0,Normal,
,I See Better With My Eyes Closed,0,"Instrumental, Normal",
,Left With My Sorrow,0,Normal,
,A Crimson Scarf,1,"Instrumental, Speech",
,ML GG,1,,
,Four,1,Genuine,
,In The Wee Hours Of The Morning,1,Instrumental,
,Four,1,Error,
Tim Deluxe,,,,
,Let The Beats Rol,0,Normal,
,Jack It,0,Normal,
,When we come to it,0,Normal,
,Face The Music,1,Normal,
,Freedom,1,Normal,
,It Just Won't Do,1,Genuine,
,Sawubona,1,Error,
Thin Lizzy,,,,
,Black Boys On The Corner,0,Normal,
,Things Ain't Working Out Down At The Farm,0,Normal,
,The Rocker,0,Normal,
,Me And The Boys,1,Error,
,Sha-La-La,1,Error,
,Saga Of The Ageing Orphan,1,Genuine,
,For Those Who Love To Live,1,Normal,
,Dublin,1,Genuine,
,Frankie Carroll,1,Genuine,
,The Sun Goes Down,1,Genuine,
Thievery Corporation,,,,
,Sun Moon And Stars,0,Normal,
,The Outernationalist,0,Normal,
,38:45 (A Thievery Number),0,Normal,
,Le Monde,1,Normal,
,Vampires,1,Genuine,
,A Warning (Dub),1,Normal,
The Zombies,,,,
,Friends of Mine,0,Normal,
,Time of the Season,0,Normal,
,Woman,0,Normal,
,Sometimes,1,Error,
,Knowing You,1,Genuine,
,The Way I Feel Inside / Studio Chat,1,"Sound Effect, Speech",
The Weather Girls,,,,
,Carwash - The Weather Girls,0,Normal,
,I Want To Take You Higher,0,Normal,
,Sweet Thang,0,Normal,
,Can't Let You Go - The Weather Girls,1,Genuine,
,Dear Santa (Bring Me A Man This Christmas),1,Genuine,
,Here Goes My Heart,1,Genuine,
The Waybacks,,,,
,They Tried To Kill Us_ We Survived (Let's Eat),0,Normal,
,Police Dog Blues,0,Normal,
,Hesitation Blues,0,Normal,
,Untitled,1,Noise,
,Intro,1,Speech,
The Trammps,,,,
,Betcha By Golly Wow - The Trammps,0,Normal,
,I Don't Want To Ever Lose Your Love,0,Normal,
,More Good Times to Remember,0,Normal,
,Our Thought [Slipping Away],0,Normal,
The Subhumans,,,,
,Dead at Birth,0,Normal,
,Greaser Boy,0,Normal,
,Slave To My Dick,0,Normal,
The Skatalites,,,,
,Refugee,0,Normal,
,Behind My Smile,0,Normal,
,Slave To My Dick,0,Normal,
,The Skatalites - Street Corner,0,Normal,
THERION,,,,
,Therion - Three Ships of Berik (Sub),0,Normal,
,Dawn of Perishness,0,Normal,
,"Therion - Notung! Notung! Niedliches Schwert! (from ""The Ring"") (Wagner)",0,Normal,
,THERION - A Black Rose,0,Normal,
,The fall into eclipse,1,Sound Effect,
The Mutton Birds,,,,
,Pulled Along By Love - The Mutton Birds,0,Normal,
,The Mutton Birds - She's Been Talking (UK version),0,Normal,
,Queen's English,0,Normal,
,Envy Of Angels,,Genuine,
The Mission,,,,
,https://www.youtube.com/watch?v=cEbrziO-pxo,0,Normal,
,Paradise (Will Shine Like The Moon),0,Normal,
,https://www.youtube.com/watch?v=hQSyo363ZYM,1,Genuine,
The Mamas & The Papas,,,,
,The Mamas & The Papas,0,Normal,
,Got A Feelin',0,Normal,
,Twist And Shout,0,Normal,
,Once Was A Time I Thought,1,Genuine,
The Juan MacLean,,,,
,One Day - The Juan MacLean,0,Normal,
,Dance With Me,0,Normal,
,Love Is In The Air,0,Normal,
,Dance Floor Modulator,0,Normal,
,Accusations,0,Normal,
,The Juan Maclean,0,Normal,
,AD2003,0,"Error, Normal",
,Tito's Way (Booka Shade Remix),0,"Error, Normal",
Zee Avi,,,,
,I Am Me Once More,0,Normal,
,Kantoi,0,Normal,
,Honey Bee,0,Normal,
,Poppy,0,Normal,
,No Christmas For Me,0,Normal,
,The Story,0,Normal,
,Just You And Me,0,Normal,
,Darling,0,Normal,
,Bitter Heart,0,Normal,
MNEMIC,,,,
,March Of The Tripods,0,Normal,
,Zero Gravity,0,Normal,
,The audio injection,1,Sound Effect,
,The Audio injection,1,Sound Effect,
Rod Lee,,,,
,Intro,1,Intro,
,East Side Drop,1,Connection,
,Get Fresh Groove,1,Bridge,
,Oochie Wally,1,Bridge,
,Get Ready,0,Normal,
,Foot Loose,0,Normal,
,The Pressure Intro,1,Intro,
,Crazie Hoe,9,Normal,
,Rod Intro,1,Speech,
Colin Meloy,,,,
,Lazy Little Ada,1,Genuine,The use of percussion
,Oh No,0,Normal,
,A Brief Introduction to Shirley Collins,1,Speech,
,Barbara Allen,1,Genuine,The use of percussion
,A Skull_ A Ship_ and a Sheep (banter),1,Speech,
,Draculas Daughter ,1,Speech / Audience Interaction,